"","BANK NAME","BANK BRANCH","CITY","DETAILS","country"
"115","FIBRA ASSET MANAGEMENT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA","","SAO PAULO","View","Brazil"
"116","BANCO FIBRA S.A.","MATRIZ","SAO PAULO","View","Brazil"
"117","FINASA-SUPLICY C.C.V.M. S/A","","SAO PAULO","View","Brazil"
"118","BRASIL PLURAL CCTVM SA","","SAO PAULO","View","Brazil"
"119","BANCO ITAUBANK S.A","MATRIZ","SAO PAULO","View","Brazil"
"120","BANKBOSTON, N.A. BRAZIL","","SAO PAULO","View","Brazil"
"121","FITCH RATINGS BRASIL LTDA","","RIO DE JANEIRO","View","Brazil"
"122","GARANTIA DTVM S/A","","SAO PAULO","View","Brazil"
"123","GBM BRASIL DTVM S.A.","","RIO DE JANEIRO","View","Brazil"
"124","GERACAO CORRETORA DE VALORES LTDA","","SAO PAULO","View","Brazil"
"125","GERACAO FUTURO CORRETORA DE VALORES SA","","RIO DE JANEIRO","View","Brazil"
"126","GRADUAL C.C.T.V.M. LTDA","","SAO PAULO","View","Brazil"
"127","CHASE FLEMING S.A. CCVM","","SAO PAULO","View","Brazil"
"128","BANCO CHASE FLEMING SA","","RIO DE JANEIRO","View","Brazil"
"129","GOLDMAN SACHS DO BRASIL CORRETORA DE VALORES MOBILIARIOS S/A","","SAO PAULO","View","Brazil"
"130","CREDIT SUISSE HEDGING GRIFFO","","SAO PAULO","View","Brazil"
"131","ICATU DTVM LTDA.","","RIO DE JANEIRO","View","Brazil"
"132","ICAP DO BRASIL DTVM LTDA","","RIO DE JANEIRO","View","Brazil"
"133","BANCO INDUSVAL S/A","MATRIZ","SAO PAULO","View","Brazil"
"134","INTRA S/A CCV","","SAO PAULO","View","Brazil"
"135","ITAU UNIBANCO S/A","HEAD OFFICE","SAO PAULO","View","Brazil"
"136","JP MORGAN DISTRIBUIDORA","","SAO PAULO","View","Brazil"
"137","JPM CCTVM S/A","","SAO PAULO","View","Brazil"
"138","BANCO KDB DO BRASIL S.A.","MATRIZ","SAO PAULO","View","Brazil"
"139","BANCO KEB DO BRASIL S.A.","MATRIZ","SAO PAULO","View","Brazil"
"140","LIBERAL S/A COR DE CAM E VAL MOB","","SAO PAULO","View","Brazil"
"141","MAGLIANO S.A. CORRETORA DE CAMBIO E VALORES MOBILIARIOS","","SAO PAULO","View","Brazil"
"142","MIDBANK-BANCO DE INVESTIMENTO S.A.","","SAO PAULO","View","Brazil"
"143","BANCO MINEIRO S.A.","","BELO HORIZONTE","View","Brazil"
"144","BANCO MERRILL LYNCH DE INVESTIMENTOS S.A.","","SAO PAULO","View","Brazil"
"145","MERRILL LYNCH S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS","","SAO PAULO","View","Brazil"
"146","BANCO MODAL S.A.","MATRIZ","RIO DE JANEIRO","View","Brazil"
"147","BANCO MORGAN STANLEY DEAN WITTER S.A.","","SAO PAULO","View","Brazil"
"148","MORGAN STANLEY","MATRIZ","SAO PAULO","View","Brazil"
"149","MULTIPLIC BANCO DE INVESTIMENTO S/A","","SAO PAULO","View","Brazil"
"150","MULTIPLIC CVM S/A","","SAO PAULO","View","Brazil"
"151","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL - BNDES","","RIO DE JANEIRO","View","Brazil"
"152","BANCO NOSSA CAIXA S/A","","SAO PAULO","View","Brazil"
"153","NESTLE BRAZIL LTDA","","SAO PAULO","View","Brazil"
"154","NOVACAO S/A CCVM","","SAO PAULO","View","Brazil"
"155","BANCO NOROESTE CHEMICAL INVESTIMENTO","","SAO PAULO","View","Brazil"
"156","NOVINVEST S/A CVM","","SAO PAULO","View","Brazil"
"157","NOVA FUTURA D.T.V.M. LTDA.","","SAO PAULO","View","Brazil"
"158","BANCO PAULISTA S.A.","MATRIZ","SAO PAULO","View","Brazil"
"159","BANCO PINE S.A.","MATRIZ","SAO PAULO","View","Brazil"
"160","PRUDENTIAL DO BRASIL SEGUROS DE VIDA SA","","RIO DE JANEIRO","View","Brazil"
"161","PLANIBANC CV S/A","","SAO PAULO","View","Brazil"
"162","PLANNER CORRETORA DE VALORES S.A.","","SAO PAULO","View","Brazil"
"163","PRIME S/A CORRETORA DE CAMBIO E VALORES","","RIO DE JANEIRO","View","Brazil"
"164","PROSPER S/A CVC","","SAO PAULO","View","Brazil"
"165","PETRA - PERSONAL TRADER CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA","","CURITIBA","View","Brazil"
"166","QUANTIA DTVM LTDA","","SAO PAULO","View","Brazil"
"167","BANCO RABOBANK INTERNATIONAL BRASIL S/A","MATRIZ","SAO PAULO","View","Brazil"
"168","THE ROYAL BANK OF SCOTLAND BRASIL S.A.-BANCO DE   INVESTIMENTO","","SAO PAULO","View","Brazil"
"169","BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL","","CURITIBA","View","Brazil"
"170","RENASCENCA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.","","SAO PAULO","View","Brazil"
"171","BANCO RENDIMENTO S/A","MATRIZ","SAO PAULO","View","Brazil"
"172","RMC S/A SC","","SAO PAULO","View","Brazil"
"173","ROYAL BANK OF CANADA (BRASIL) S.A.","","SAO PAULO","View","Brazil"
"174","BANCO RURAL S.A.","","","View","Brazil"
"175","SANTANDER BRASIL S/A CTVM","","SAO PAULO","View","Brazil"
"176","BANCO SAFRA S.A.","HEAD OFFICE","SAO PAULO","View","Brazil"
"177","STANDARD CHARTERED BANK (BRASIL) S.A.-BANCO DE INVESTIMENTO","","SAO PAULO","View","Brazil"
"178","BANKO SUMITOMO MITSUI BRASILEIRO S.A.","","SAO PAULO","View","Brazil"
"179","STOCK S/A COR DE CAM E VAL","","SAO PAULO","View","Brazil"
"180","BCV - BANCO DE CREDITO E VAREJO S.A","MATRIZ","SAO PAULO","View","Brazil"
"181","SCHAHIN CCVM S/A","","SAO PAULO","View","Brazil"
"182","SOCOPA SOCIEDADE CORRETORA PAULISTA S/A.","","SAO PAULO","View","Brazil"
"183","SLW CORRETORA DE VALORES E CAMBIO LTDA","","SAO PAULO","View","Brazil"
"184","SPINELLI S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO","","SAO PAULO","View","Brazil"
"185","SAMSUNG ELECTRONICA DA AMAZONIA LTDA.","","SAO PAULO","View","Brazil"
"186","BANCO DO ESTADO DE SERGIPE S.A.","AGENCIA BARAO DE MARUIM","ARACAJU","View","Brazil"
"187","SQUANTO INVESTIMENTOS LTD","","SAO PAULO","View","Brazil"
"188","SPECIAL SETTLEMENT AND CUSTODY SYSTEM (SELIC)","","RIO DE JANEIRO","View","Brazil"
"189","BANCO SUMITOMO MITSUI BRASILEIRO S.A.","MATRIZ","SAO PAULO","View","Brazil"
"190","TALARICO CORRETORA DE CAMBIO E TITULOS MOBILIARIOSLTDA.","","SAO PAULO","View","Brazil"
"191","TOV CORRETORA DE TITULOS, CAMBIO E VALORES MOBILIARIOS LTDA","","SAO PAULO","View","Brazil"
