"","BANK NAME","BANK BRANCH","CITY","DETAILS","country"
"294","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","CENTRO RECIFE","RECIFE","View","Brazil"
"295","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","URB AV DAS AMERICAS","RIO DE JANEIRO","View","Brazil"
"296","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","URB IGUATEMI","SALVADOR","View","Brazil"
"297","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","URB CAPELA DO SOCORRO","SAO PAULO","View","Brazil"
"298","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","CENTRO SANTOS","SANTOS","View","Brazil"
"299","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","TREASURY OPERATIONS","CURITIBA","View","Brazil"
"300","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","URB ENSEADA","VITORIA","View","Brazil"
"301","BANCO CENTRAL DO BRASIL","SEDE","BRASILIA","View","Brazil"
"302","BANCO CENTRAL DO BRASIL","DEPTO. DE OPERACOES INTERNACIONAIS","BRASILIA","View","Brazil"
"303","BANCO CENTRAL DO BRASIL","DEPTO. DA DIVIDA EXTERNA E DE RELACOES INTERNACIONAIS","BRASILIA","View","Brazil"
"304","BANCO CENTRAL DO BRASIL","","RIO DE JANEIRO","View","Brazil"
"305","BANCO CENTRAL DO BRASIL","SISTEMA NACIONAL DE CAMBIO","BRASILIA","View","Brazil"
"306","BANCO CENTRAL DO BRASIL","","SAO PAULO","View","Brazil"
"307","BES INVESTIMENTO DO BRASIL S/A-BANCO DE INVESTIMENTO","BES SECURITIES","SAO PAULO","View","Brazil"
"308","BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.","","SAO PAULO","View","Brazil"
"309","BANCO DO NORDESTE DO BRASIL S/A","BELO HORIZONTE","BELO HORIZONTE","View","Brazil"
"310","BANCO DO NORDESTE DO BRASIL S/A","","FORTALEZA","View","Brazil"
"311","BANCO DO NORDESTE DO BRASIL S/A","MACEIO CENTRO","MACEIO","View","Brazil"
"312","BANCO DO NORDESTE DO BRASIL S/A","NATAL CENTRO","NATAL","View","Brazil"
"313","BANCO DO NORDESTE DO BRASIL S/A","RECIFE-AGAMENON MAGALHAES","RECIFE","View","Brazil"
"314","BANCO DO NORDESTE DO BRASIL S/A","RIO DE JANEIRO","RIO DE JANEIRO","View","Brazil"
"315","BANCO DO NORDESTE DO BRASIL S/A","SALVADOR-COMERCIO","SALVADOR","View","Brazil"
"316","BANCO DO NORDESTE DO BRASIL S/A","SAO PAULO","SAO PAULO","View","Brazil"
"317","BANCO BNP PARIBAS BRASIL S/A","BANCO BNP PARIBAS BRASIL S/A","BRASILIA","View","Brazil"
"318","BANCO DO BRASIL S.A.","ADR AMERICAN DEPOSITARY RECEIPTS DIMEC","RIO DE JANEIRO","View","Brazil"
"319","BANCO DO BRASIL S.A.","GECEX BELO HORIZONTE","BELO HORIZONTE","View","Brazil"
"320","BANCO DO BRASIL S.A.","GECEX BLUMENAU","BLUMENAU","View","Brazil"
"321","BANCO DO BRASIL S.A.","GECEX BRASILIA","BRASILIA","View","Brazil"
"322","BANCO DO BRASIL S.A.","GECEX CAMPINAS","CAMPINAS","View","Brazil"
"323","BANCO DO BRASIL S.A.","ACCOUNT RECONCILIATION AND STATEMENTS COGER","RIO DE JANEIRO","View","Brazil"
"324","BANCO DO BRASIL S.A.","GECEX CURITIBA","CURITIBA","View","Brazil"
"325","BANCO DO BRASIL S.A.","SWIFT FOR CORPORATES - DICOM","BRASILIA","View","Brazil"
"326","BANCO DO BRASIL S.A.","FINANCIAL INSTITUTIONS DIRIN","SAO PAULO","View","Brazil"
"327","BANCO DO BRASIL S.A.","GECEX SAO PAULO III","SAO PAULO","View","Brazil"
"328","BANCO DO BRASIL S.A.","GECEX PORTO ALEGRE","PORTO ALEGRE","View","Brazil"
"329","BANCO DO BRASIL S.A.","PREPAID CARD DICAR","BRASILIA","View","Brazil"
"330","BANCO DO BRASIL S.A.","GECEX RECIFE","RECIFE","View","Brazil"
"331","BANCO DO BRASIL S.A.","ACCOUNT RECONCILIATION AND STATEMENTS","RIO DE JANEIRO","View","Brazil"
"332","BANCO DO BRASIL S.A.","INTERNACIONAL CASH MANAGEMENT AND FOREIGN EXCHANGE DIFIN/DIMEC","RIO DE JANEIRO","View","Brazil"
"333","BANCO DO BRASIL S.A.","GECEX RIO DE JANEIRO","RIO DE JANEIRO","View","Brazil"
"334","BANCO DO BRASIL S.A.","GECEX RIBEIRAO PRETO","RIBEIRAO PRETO","View","Brazil"
"335","BANCO DO BRASIL S.A.","GECEX SAO PAULO I","SAO PAULO","View","Brazil"
"336","BANCO DO BRASIL S.A.","GECEX SALVADOR","SALVADOR","View","Brazil"
"337","BANCO DO BRASIL S.A.","GECEX SAO PAULO II","SAO PAULO","View","Brazil"
"338","BANCO DO BRASIL S.A.","S.W.I.F.T. SUPPORT INTERFACE/INFRASTRUCTURE","BRASILIA","View","Brazil"
"339","BRB-BANCO DE BRASILIA S.A.","SAO PAULO","SAO PAULO","View","Brazil"
"340","BANCO DO ESTADO DO RIO GRANDE DO SUL S/A","HEAD OFFICE","PORTO ALEGRE","View","Brazil"
"341","BANCO SANTANDER (BRASIL) S.A.","","SAO PAULO","View","Brazil"
"342","BANCO SANTANDER (BRASIL) S.A.","SECURITIES DEPARTMENT","SAO PAULO","View","Brazil"
"343","BANCO SANTANDER (BRASIL) S.A.","SAO PAULO BRANCH","SAO PAULO","View","Brazil"
"344","ITAU UNIBANCO S/A (SUCCESSOR OF BANCO ITAU BBA S.A.)","BELO HORIZONTE BRANCH","BELO HORIZONTE","View","Brazil"
"345","ITAU UNIBANCO S/A (SUCCESSOR OF BANCO ITAU BBA S.A.)","CAMPINAS BRANCH","CAMPINAS","View","Brazil"
"346","ITAU UNIBANCO S/A (SUCCESSOR OF BANCO ITAU BBA S.A.)","PORTO ALEGRE BRANCH","PORTO ALEGRE","View","Brazil"
"347","ITAU UNIBANCO S/A (SUCCESSOR OF BANCO ITAU BBA S.A.)","RIO DE JANEIRO BRANCH","RIO DE JANEIRO","View","Brazil"
"348","BANCO JP MORGAN S.A.","DIRECT CUSTODY CLEARING","SAO PAULO","View","Brazil"
"349","BANCO JP MORGAN S.A.","GLOBAL CORE CAPABILITIES","SAO PAULO","View","Brazil"
"350","BANCO JP MORGAN S.A.","TEST KEY AND BKE ADMINISTRATION","SAO PAULO","View","Brazil"
"351","BANCO JP MORGAN S.A.","JPMORGAN TS MANAGEMENT","SAO PAULO","View","Brazil"
"352","DEUTSCHE BANK S.A. - BANCO ALEMAO","","RIO DE JANEIRO","View","Brazil"
"353","DEUTSCHE BANK S.A. - BANCO ALEMAO","","SAO PAULO","View","Brazil"
"354","BANCO ITAUBANK S.A","","RIO DE JANEIRO","View","Brazil"
"355","BANCO ITAUBANK S.A","SAO PAULO BRANCH","SAO PAULO","View","Brazil"
"356","ITAU UNIBANCO S/A","ASSESSORIA ADR","SAO PAULO","View","Brazil"
"357","ITAU UNIBANCO S/A","BH AV. AMAZONAS","BELO HORIZONTE","View","Brazil"
"358","ITAU UNIBANCO S/A","BLUMENAU/CENTRO","BLUMENAU","View","Brazil"
"359","ITAU UNIBANCO S/A","CAMPINAS/FCO.GLICERIO","CAMPINAS","View","Brazil"
"360","ITAU UNIBANCO S/A","CURITIBA/CARMO","CURITIBA","View","Brazil"
"361","ITAU UNIBANCO S/A","GERENCIA DE FUNDOS E CARTEIRAS INTERNACIONAL","SAO PAULO","View","Brazil"
"362","ITAU UNIBANCO S/A","GERENCIA DE FUNDOS E CARTEIRAS INTERNACIONAL","SAO PAULO","View","Brazil"
"363","ITAU UNIBANCO S/A","JOINVILLE/PRINCIPE","JOINVILLE","View","Brazil"
"364","ITAU UNIBANCO S/A","CUSTODIA LOCAL","SAO PAULO","View","Brazil"
"365","ITAU UNIBANCO S/A","NOVO HAMBURGO/PATRIA NOVA","NOVO HAMBURGO","View","Brazil"
"366","ITAU UNIBANCO S/A","PORTO ALEGRE/FARRAPOS-RS","PORTO ALEGRE","View","Brazil"
"367","ITAU UNIBANCO S/A","RIO/AVENIDA","RIO DE JANEIRO","View","Brazil"
"368","ITAU UNIBANCO S/A","","SAO PAULO","View","Brazil"
"369","JPM COR DE CAM TITU E VAL MOB S/A","","SAO PAULO","View","Brazil"
"370","MIRAE ASSET SECURITIES (BRASIL) C.T.V.M. LTDA","","SAO PAULO","View","Brazil"
"371","MERRILL LYNCH DTVM","","SAO PAULO","View","Brazil"
"372","BANCO MORGAN STANLEY DEAN WITTER S.A.","","SAO PAULO","View","Brazil"
"373","MULTIPLIC BANCO DE INVESTIMENTO S/A","","RIO DE JANEIRO","View","Brazil"
"374","BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL","","FLORIANOPOLIS","View","Brazil"
"375","BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL","","PORTO ALEGRE","View","Brazil"
"376","BANCO SAFRA S.A.","RIO BRANCO","RIO DE JANEIRO","View","Brazil"
"377","BANCO SAFRA S.A.","","SAO PAULO","View","Brazil"
"378","SAMSUNG ELECTRONICA DA AMAZONIA LTDA.","SEDA","SAO PAULO","View","Brazil"
"379","BANCO DO ESTADO DE SERGIPE S.A.","AGENCIA MAGAZINE","ARACAJU","View","Brazil"
"380","BANCO SUMITOMO MITSUI BRASILEIRO S.A.","","BRASILIA","View","Brazil"
"381","BANCO SUMITOMO MITSUI BRASILEIRO S.A.","","BELO HORIZONTE","View","Brazil"
"382","BANCO SUMITOMO MITSUI BRASILEIRO S.A.","","RIO DE JANEIRO","View","Brazil"
"383","BMF - CAMARA DE DERIVATIVOS","DIRETORIA DE LIQUIDACAO E CUSTODIA","SAO PAULO","View","Brazil"
"384","BOLSA DE MERCADORIAS E FUTUROS - BM E F","DIRETORIA DE LIQUIDACAO E CUSTODIA","SAO PAULO","View","Brazil"
"385","BOLSA DE MERCADORIAS E FUTUROS - BM E F","DEPARTAMENTO DE CUSTODIA","SAO PAULO","View","Brazil"
"386","BANCO MERRILL LYNCH DE INVESTIMENTOS S.A.","TRADES","SAO PAULO","View","Brazil"
"387","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","HSS FUNDS","CURITIBA","View","Brazil"
"388","MERCEDES-BENZ DO BRASIL LTDA","INDUSTRIAL ACCOUNTS","SAO BERNARDO DO CAMPO","View","Brazil"
"389","BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.","HEDGING GRIFFO","SAO PAULO","View","Brazil"
"390","BANCO SANTANDER (BRASIL) S.A.","","SAO PAULO","View","Brazil"
"391","BANCO SANTANDER (BRASIL) S.A.","ASSET MANAGEMENT","","View","Brazil"
"392","CONCORDIA SA CVMCC","","SAO PAULO","View","Brazil"
"393","CONCORDIA SA CVMCC","","RIO DE JANEIRO","View","Brazil"
"394","BANCO BRADESCO S.A.","DEPARTAMENTO DE ACOES E CUSTODIA","","View","Brazil"
"395","ITAU UNIBANCO - IAM","","","View","Brazil"
"396","BANCO RURAL S.A.","","","View","Brazil"
"397","BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY","SAO PAULO","SAO PAULO","View","Brazil"
"398","CITIBANK N.A.","","SAO PAULO","View","Brazil"
"399","ING BANK N.V.","MATRIZ","SAO PAULO","View","Brazil"
"400","BANCO DE LA NACION ARGENTINA","SUCURSAL SAN PAULO","SAO PAULO","View","Brazil"
"401","BANCO DE LA PROVINCIA DE BUENOS AIRES","SAO PAULO","SAO PAULO","View","Brazil"
"402","INDUSTRIAL AND COMMERCIAL BANK OF CHINA(BRAZIL)","","SAO PAULO","View","Brazil"
"403","CITIBANK N.A.","HEAD OFFICE","SAO PAULO","View","Brazil"
"404","CITIBANK N.A.","","RIO DE JANEIRO","View","Brazil"
"405","CITIBANK N.A.","INTERNATIONAL SECURITY","SAO PAULO","View","Brazil"
"406","CITIBANK N.A.","MATRIZ","SAO PAULO","View","Brazil"
"407","ING BANK N.V.","ASSET TRADING ADMINISTRATION","SAO PAULO","View","Brazil"
"408","BANCO DE LA NACION ARGENTINA","SUCURSAL RIO DE JANEIRO","RIO DE JANEIRO","View","Brazil"
"409","BANCO SANTANDER SA","","BELO HORIZONTE","View","Brazil"
"410","BANCO SANTANDER SA","","BLUMENAU","View","Brazil"
"411","BANCO SANTANDER SA","","BRASILIA","View","Brazil"
"412","BANCO SANTANDER SA","","CAMPINAS","View","Brazil"
"413","BANCO SANTANDER SA","","CAXIAS DO SUL","View","Brazil"
"414","BANCO SANTANDER SA","","CURITIBA","View","Brazil"
"415","BANCO SANTANDER SA","","GOIANIA","View","Brazil"
"416","BANCO SANTANDER SA","INTERNATIONAL SECURITIES SERVICES","SAO PAULO","View","Brazil"
"417","BANCO SANTANDER SA","","JUIZ DE FORA","View","Brazil"
"418","BANCO SANTANDER SA","","JOINVILLE","View","Brazil"
"419","BANCO SANTANDER SA","","NOVO HAMBURGO","View","Brazil"
"420","BANCO SANTANDER SA","","PORTO ALEGRE","View","Brazil"
"421","BANCO SANTANDER SA","","RECIFE","View","Brazil"
"422","BANCO SANTANDER SA","","RIO DE JANEIRO","View","Brazil"
"423","BANCO SANTANDER SA","","RIBEIRAO PRETO","View","Brazil"
"424","BANCO SANTANDER SA","","SALVADOR","View","Brazil"
"425","BANCO SANTANDER SA","","SANTOS","View","Brazil"
"426","BANCO SANTANDER SA","TREASURY","SAO PAULO","View","Brazil"
"427","BANCO CRUZEIRO DO SUL SA","","SAO PAULO","View","Brazil"
"428","BANCO FATOR SA","","SAO PAULO","View","Brazil"
"429","BANCO PROSPER SA","","RIO DE JANEIRO","View","Brazil"
"430","ITAU UNIBANCO SA","SUPERINTENDENCIA ADMINISTRATIVA OPERACIONAL","SAO PAULO","View","Brazil"
"431","INDUSTRIAL AND COMMERCIAL BANK OF CHINA","","SAO PAULO","View","Brazil"
"432","BANCO INTERCAP SA","","SAO PAULO","View","Brazil"
"433","STARAUTO COMERCIO DE VEICULOS LTDA","","SAO BERNARDO DO CAMPO","View","Brazil"
"434","DRESDNER BANK BRASIL SA BANCO MULTIPLO","","SAO PAULO","View","Brazil"
"435","EUROHYPO BRAZIL LIMITADA","","SAO PAULO","View","Brazil"
"436","BANCO BVA SA","","RIO DE JANEIRO","View","Brazil"
"437","BANCO DO BRASIL SA","GECEX VITORIA","VITORIA","View","Brazil"
"438","BANCO DO BRASIL SA","GECEX MANAUS","MANAUS","View","Brazil"
"439","BANCO DO BRASIL SA","GECEX FORTALEZA","FORTALEZA","View","Brazil"
"440","BANCO DO BRASIL SA","GECEX CAXIAS DO SUL","CAXIAS DO SUL","View","Brazil"
"441","BANCO DO BRASIL SA","GECEX BELEM","BELEM","View","Brazil"
"442","BANCO BMG SA","","BELO HORIZONTE","View","Brazil"
"443","BANCO BMG SA","","SAO PAULO","View","Brazil"
"444","BANCO BMG SA","","RIO DE JANEIRO","View","Brazil"
"445","BANCO DO ESTADO DO PARA SA","","BELEM","View","Brazil"
"446","ABN AMRO ESCRITORIO DE REPRESENTACALTDA","","SAO PAULO","View","Brazil"
"447","UNIBANCO UNIAO DE BANCOS BRASILEIROS SA","CASH MANAGEMENT","SAO PAULO","View","Brazil"
"448","UNIBANCO UNIAO DE BANCOS BRASILEIROS SA","SERVICOS DE INVESTIMENTO BO UAM","SAO PAULO","View","Brazil"
"449","UNIBANCO UNIAO DE BANCOS BRASILEIROS SA","GLOBAL DEPOSITORY CUSTODY/GDR-CUSTODY","SAO PAULO","View","Brazil"
"450","UNIBANCO UNIAO DE BANCOS BRASILEIROS SA","","SAO PAULO","View","Brazil"
"451","UNIBANCO UNIAO DE BANCOS BRASILEIROS SA","HEAD OFFICE","SAO PAULO","View","Brazil"
"452","PETROLEO BRASILEIRO SA PETROBRAS","PETROBRAS BOLIVIA","RIO DE JANEIRO","View","Brazil"
"453","PETROLEO BRASILEIRO SA PETROBRAS","","RIO DE JANEIRO","View","Brazil"
"454","BANCO RURAL SA","","BELO HORIZONTE","View","Brazil"
"455","BANCO RURAL SA","","BELO HORIZONTE","View","Brazil"
"456","BANCO STANDARD DE INVESTIMENTOS SA","","SAO PAULO","View","Brazil"
"457","WWI ADMINISTRACAO DE RECURSOS","","SAO PAULO","View","Brazil"
"458","ACTINVER CASA DE BOLSA SA DE CV","","CENTRO DE CIUDAD SANTA FE","View","Mexico"
"459","ABACO CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"460","BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER","","MEXICO","View","Mexico"
"461","ACCIONES Y VALORES DE MEXICO, S.A. DE C.V. CASA DE BOLSA","","MEXICO","View","Mexico"
"462","AFIN, CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"463","BANCA AFIRME S.A.","","MONTERREY","View","Mexico"
"464","BANCO AZTECA, S.A. INSTITUCION DE BANCA MULTIPLE","","MEXICO","View","Mexico"
"465","BANCO DE ORIENTE, S A","","PUEBLA","View","Mexico"
"466","CASA DE BOLSA BANORTE, S.A. DE C.V.","","MEXICO","View","Mexico"
"467","BARCLAYS BANK MEXICO S.A.","","MEXICO","View","Mexico"
"468","BANCO BASE SA INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO BASE","","MEXICO","View","Mexico"
"469","BBVA BANCOMER, S.A.","","MEXICO","View","Mexico"
"470","BANCO DE MEXICO","","MEXICO","View","Mexico"
"471","HSBC MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIER HSBC","","MEXICO","View","Mexico"
"472","BANCO INTERACCIONES","","MEXICO","View","Mexico"
"473","HSBC CASA DE BOLSA, S.A. DE C.V., GRUPO FINANCIERHSBC","","MEXICO","View","Mexico"
"474","BANCO DEL BAJIO, S.A.","","LEON","View","Mexico"
"475","BANCO SANTANDER (MEXICO), S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER","","MEXICO","View","Mexico"
"476","BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.","","MEXICO","View","Mexico"
"477","BANCO NACIONAL DE MEXICO S.A.","HEAD OFFICE AND FOR ALL REMAINING UNLISTED BRANCHES","MEXICO","View","Mexico"
"478","BANCO NACIONAL PESQUERO Y PORTUARIO, S.N.C.","","HERMOSILLO","View","Mexico"
"479","BANK OF AMERICA, MEXICO S.A.","","MEXICO","View","Mexico"
"480","BANK OF TOKYO-MITSUBISHI UFJ (MEXICO) S.A.","","MEXICO","View","Mexico"
"481","ING BARING GRUPO FINANCIERO (MEXICO) S.A. DE C.V.","","MEXICO","View","Mexico"
"482","CASA DE BOLSA SANTANDER, S.A.","","MEXICO","View","Mexico"
"483","CASA DE BOLSA UNION SA DE CV","","MEXICO","View","Mexico"
"484","CASA DE BOLSA ARKA S.A DE C.V.","","MEXICO","View","Mexico"
"485","CASA DE BOLSA FINAMEX, S.A.B. DE C.V.","","MEXICO","View","Mexico"
"486","CASA DE BOLSA MEXICO, S.A. DE C.V.","","MEXICO","View","Mexico"
"487","CASA DE BOLSA BANCOMER, S.A. DE C.V.","","MEXICO","View","Mexico"
"488","SCOTIA INVERLAT CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"489","CASA DE BOLSA PRIME, S.A. DE C.V.","","MEXICO","View","Mexico"
"490","BANCO JP MORGAN S.A.","","MEXICO","View","Mexico"
"491","CIBANCO SA","","MEXICO","View","Mexico"
"492","BANCO CREDIT SUISSE (MEXICO) S.A.","","MEXICO","View","Mexico"
"493","CASA DE BOLSA CREDIT SUISSE (MEXICO), S.A. DE C.V.","","MEXICO","View","Mexico"
"494","CASA DE CAMBIO TIBER SA DE CV","","MEXICO","View","Mexico"
"495","CEMEX S.A.B. DE C.V.","","SAN PEDRO GARZA GARCIA","View","Mexico"
"496","DAIMLER MEXICO, SA DE CV","","MEXICO","View","Mexico"
"497","DEUTSCHE BANK MEXICO, SA","","MEXICO","View","Mexico"
"498","ESTRATEGIA CAMBIARIA CASE DE CAMBIO S.A. DE C.V.","","MEXICO","View","Mexico"
"499","BANCO NACIONAL DEL EJERCITO, FUERZA AEREA Y ARMADA, S.N.C.","","MEXICO","View","Mexico"
"500","ESTRATEGIA BURSATIL, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"501","FIMSA CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"502","FIRST NATIONAL BANK, S.A. DE C.V","","TIJUANA","View","Mexico"
"503","FITCH MEXICO S.A. DE C.V.","","MONTERREY,N.L.","View","Mexico"
"504","GOLDMAN SACHS MEXICO CASA DE BOLSA, SA DE CV","","MEXICO","View","Mexico"
"505","INTERCAM CASA DE BOLSA S.A. DE C.V.","","MEXICO","View","Mexico"
"506","INTERACCIONES CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"507","BANCO INBURSA S.A.","","MEXICO","View","Mexico"
"508","S.D. INDEVAL, S.A. DE C.V.","","MEXICO","View","Mexico"
"509","INTERCAM BANCO SA INSTITUCION DE BANCA MULTIPLE INTERCAM GRUPO FINANCIERO","","MEXICO","View","Mexico"
"510","INVERMEXICO, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"511","BANCO INVEX S.A.","","MEXICO","View","Mexico"
"512","INVERSORA BURSATIL, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"513","INVEX CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"514","IXE CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"515","SCOTIABANK INVERLAT, S.A.","","MEXICO","View","Mexico"
"516","BANCO MERCANTIL DEL NORTE, S.A.","","MEXICO","View","Mexico"
"517","BANCO MULTIVA S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO MULTIVA","","MEXICO","View","Mexico"
"518","MULTIVALORES CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"519","BANCO MONEX, S.A. INSTITUCION DE BANCA MULTIPLE","","MEXICO","View","Mexico"
"520","BANCO MONEX, S.A.","","MEXICO","View","Mexico"
"521","MORGAN STANLEY","","MEXICO","View","Mexico"
"522","MEXIVAL BANPAIS CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"523","BANCO NACIONAL DE CREDITO RURAL SA","","MEXICO","View","Mexico"
"524","NACIONAL FINANCIERA, S.N.C.","","MEXICO","View","Mexico"
"525","OPERADORA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"526","OPERADORA DE BOLSA SERFIN, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"527","PROBURSA CASA DE BOLSA, S.A. DE C.V. CASA DE BOLSA","","MEXICO","View","Mexico"
"528","BANCO REGIONAL DE MONTERREY, S.A.","","MONTERREY","View","Mexico"
"529","BANCO DE CREDITO RURAL DEL GOLFO S.N.C.","","VERACRUZ","View","Mexico"
"530","SANTANDER SERFIN","","VERACRUZ","View","Mexico"
"531","SAMSUNG MEXICANA, S.A. DE C.V.","","TIJUANA","View","Mexico"
"532","BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS S.N.C INSTITUCION DE BANCA DE DESARROLLO","","MEXICO","View","Mexico"
"533","BANSI, SA","","GUADALAJARA","View","Mexico"
"534","GRUPO TELEVISA, S.A.B.","","MEXICO","View","Mexico"
"535","UBS BANK MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE, UBS GRUPO FINANCIERO","","MEXICO","View","Mexico"
"536","VALUE, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"537","VANGUARDIA CASA DE BOLSA","","MEXICO","View","Mexico"
"538","CASA DE BOLSA DEL VALLE DE MEXICO, S.A. DE C.V.","","MEXICO","View","Mexico"
"539","VALORES BURSATILES DE MEXICO, S.A. DE C.V.","","MEXICO","View","Mexico"
"540","VACTOR CASA DE BOLSA, S.A. DE C.V.","","GARZA GARCIA","View","Mexico"
"541","VALORES FINAMEX, S.A. DE C.V., CASA DE BOLSA","","MEXICO","View","Mexico"
"542","VALORES MEXICANOS CASA DE BOLSA, S.A. DE C.V.","","MEXICO","View","Mexico"
"543","MERCADO MEXICANO DE DERIVADOS, S.A. DE C.V.","","MEXICO","View","Mexico"
"544","BOLSA MEXICANA DE VALORES, S. A. DE C. V.","","MEXICO","View","Mexico"
"545","VECTOR CASA DE BOLSA, SA DE CV","","MONTERREY","View","Mexico"
"546","MASTTRO CAPITAL SAPI DE CV","","SAN PEDRO GARZA GARCIA","View","Mexico"
"547","MOODY'S DE MEXICO S.A. DE C.V","","MEXICO","View","Mexico"
"548","GBM GRUPO BURSATIL MEXICANO, SA DE CV","","MEXICO","View","Mexico"
"549","BANCO MULTIVA S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO MULTIVA","","MEXICO","View","Mexico"
"550","VOLKSWAGEN DE MEXICO S.A. DE C.V.","","MEXICO","View","Mexico"
"551","BANCA MIFEL SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","","MEXICO","View","Mexico"
"552","AUDI MEXICO","","","View","Mexico"
"553","VW DE MEXICO","","","View","Mexico"
"554","LG DISPLAY REYNOSA SA DE CV","","","View","Mexico"
"555","TESORED, S.A. DE C.V.","","","View","Mexico"
"556","INVESTA BANK, S.A. INSTITUCION DE BANCA MULTIPLE","","","View","Mexico"
"557","AUDI MEXICO REAL ESTATE","","","View","Mexico"
"558","HR RATINGS DE MEXICO, S.A. DE C.V.","","","View","Mexico"
"559","BTG PACTUAL CASA DE BOLSA, SA. DE CV","","","View","Mexico"
"560","METALSA S.A. DE C.V.","","","View","Mexico"
"561","INDUSTRIAL AND COMMERCIAL BANK OF CHINA MEXICO, S.A.","","","View","Mexico"
"562","GESTION SANTANDER MEXICO S.A. DE C.V.","","","View","Mexico"
"563","ABACO CASA DE BOLSA, S.A. DE C.V.","","GARZA GARCIA","View","Mexico"
"564","BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER","","MEXICO","View","Mexico"
"565","BBVA BANCOMER, S.A.","COLLECTIONS DEPARTMENT MEXICO, D.F.","MEXICO","View","Mexico"
"566","BBVA BANCOMER, S.A.","CORRESPONDENT BANKING","MEXICO","View","Mexico"
"567","BBVA BANCOMER, S.A.","INTERNATIONAL TREASURY DEPARTMENT","MEXICO","View","Mexico"
"568","BBVA BANCOMER, S.A.","LETTERS OF CREDIT DEPARTMENT MEXICO D.F.","MEXICO","View","Mexico"
"569","BBVA BANCOMER, S.A.","FINANCE INTERNATIONAL OPERATIONS","MEXICO","View","Mexico"
"570","BBVA BANCOMER, S.A.","FOREIGN EXCHANGE DEPARTMENT","MEXICO","View","Mexico"
"571","BBVA BANCOMER, S.A.","FIDUCIARY DEPARTMENT","MEXICO","View","Mexico"
"572","BBVA BANCOMER, S.A.","LETTERS OF CREDIT AND COLLECTIONS DEPARTMENT GUADALAJARA, JAL.","GUADALAJARA","View","Mexico"
"573","BBVA BANCOMER, S.A.","CARTERA HIPOTECARIA","MEXICO","View","Mexico"
"574","BBVA BANCOMER, S.A.","LETTERS OF CREDIT AND COLLECTIONS DEPARTMENT, MONTERREY, N.L.","MONTERREY","View","Mexico"
"575","BBVA BANCOMER, S.A.","INTERNATIONAL OPERATIONS MEXICO, D.F.","MEXICO","View","Mexico"
"576","BBVA BANCOMER, S.A.","PASIVOS MONEDA EXTRANJERA DEPT.","MEXICO","View","Mexico"
"577","BBVA BANCOMER, S.A.","PAYMENT ORDERS DEPARTMENT","MEXICO","View","Mexico"
"578","BBVA BANCOMER, S.A.","RECONCILEMENT DEPARTMENT","MEXICO","View","Mexico"
